Tree Conservation Biology (TCB) ID,Accession ID,Both paper labels transfered into bag?,"Leaf Tissue Condition (Moldy, Necrotic, or Good)","Leaf Tissue Color (Green, Brown, Black)",Weight (g),Comments,Transcriber comments,Transcribe Initials,Double checked?
TCB-05608,QUBR_2022_0272,TRUE,Good?,Green,0.384,brown splotches,,DTB,TRUE
TCB-05609,QUBR_2022_0323,TRUE,Good,Green,0.125,,,DTB,TRUE
TCB-05610,QUBR_2022_0339,TRUE,Good?,Green,0.176,pale white splotches,,DTB,TRUE
TCB-05611,QUBR_2022_0285,TRUE,Good?,Green,0.191,white splotches; brown tip on largest leaf,,DTB,TRUE
TCB-05612,QUBR_2022_0345,TRUE,Good?,Green,0.192,brown dots,,DTB,TRUE
TCB-05613,QUBR_2022_0264,TRUE,Good,Green,0.261,,,DTB,TRUE
TCB-05614,QUBR_2022_0263,TRUE,Good?,Green,0.254,white splotches; small brown spots,,DTB,TRUE
TCB-05615,QUBR_2022_0332,TRUE,Good?,Green,0.253,one brown patch on largest leaf sample,,DTB,TRUE
TCB-05616,QUBR_2022_0348,TRUE,Good?,Green,0.067,dark green tissue with white and brown spots,,DTB,TRUE
TCB-05617,QUBR_2022_0338,TRUE,Good,Green,0.190,,,DTB,TRUE
TCB-05618,QUBR_2022_0337,TRUE,Good?,Green,0.230,white splotches,,DTB,TRUE
TCB-05619,QUBR_2022_0281,TRUE,Good,Green,0.088,,,DTB,TRUE
TCB-05620,QUBR_2022_0262,TRUE,Good?,Green,0.258,white and brown spots,,DTB,TRUE
TCB-05621,QUBR_2022_0282,TRUE,Good?,Green,0.115,white splotches,,DTB,TRUE
TCB-05622,QUBR_2022_0261,TRUE,Good,Green,0.210,,,DTB,TRUE
TCB-05623,QUBR_2022_0260,TRUE,Good?,Green,0.154,tiny brown spots,,DTB,TRUE
TCB-05624,QUBR_2022_0283,TRUE,Good,Green,0.292,,,DTB,TRUE
TCB-05625,QUBR_2022_0259,TRUE,Good?,Green,0.272,white splotches and brown patches/spots,,DTB,TRUE
TCB-05626,QUBR_2022_0273,TRUE,Good?,Green,0.147,white splotches and tiny black spot,,DTB,TRUE
TCB-05627,QUBR_2022_0258,TRUE,Good,Green,0.252,,,DTB,TRUE
TCB-05628,QUBR_2022_0265,TRUE,Good,Green,0.319,,,DTB,TRUE
TCB-05629,QUBR_2022_0257,TRUE,Good?,Green,0.300,small brown spots,,DTB,TRUE
TCB-05630,QUBR_2022_0266,TRUE,Good?,Green,0.304,white splotches; brown spots,,DTB,TRUE
TCB-05631,QUBR_2022_0256,TRUE,Good?,Green,0.164,white splotches,,DTB,TRUE
TCB-05632,QUBR_2022_0267,TRUE,Good?,Green,0.191,white splotches,,DTB,TRUE
TCB-05633,QUBR_2022_0328,TRUE,Good,Green,0.242,,,DTB,TRUE
TCB-05634,QUBR_2022_0325,TRUE,Good,Green,0.231,,,DTB,TRUE
TCB-05635,QUBR_2022_0322,TRUE,Good?,Green,0.273,small black dots,,DTB,TRUE
TCB-05636,QUBR_2022_0271,TRUE,1 Good; 1 Necrotic,Green/Black,0.084,1 leaf is necrotic with dark green/black tissue,,DTB,TRUE
TCB-05637,QUBR_2022_0349,TRUE,Good,Green,0.062,,,DTB,TRUE
TCB-05638,QUBR_2022_0347,TRUE,Good,Green,0.311,,,DTB,TRUE
TCB-05639,QUBR_2022_0270,TRUE,Good?,Green,0.173,tiny black/brown spots,,DTB,TRUE
TCB-05640,QUBR_2022_0344,TRUE,Good,Green,0.113,small brown patch on one leaf,,DTB,TRUE
TCB-05641,QUBR_2022_0343,TRUE,Good?,Green,0.120,white splotches,,DTB,TRUE
TCB-05642,QUBR_2022_0346,TRUE,Good,Green,0.173,,,DTB,TRUE
TCB-05643,QUBR_2022_0342,TRUE,Good?,Green,0.147,,,DTB,TRUE
TCB-05644,QUBR_2022_0320,TRUE,Good?,Green,0.184,,,DTB,TRUE
TCB-05645,QUBR_2022_0331,TRUE,Good?,Green,0.130,,,DTB,TRUE
TCB-05646,QUBR_2022_0311,TRUE,Good,Green,0.147,,,DTB,TRUE
TCB-05647,QUBR_2022_0319,TRUE,Good,Green,0.190,,,DTB,TRUE
TCB-05648,QUBR_2022_0310,TRUE,Good,Green,0.165,,,DTB,TRUE
TCB-05649,QUBR_2022_0318,TRUE,Good?,Green,0.211,,,DTB,TRUE
TCB-05650,QUBR_2022_0309,TRUE,Good?,Green,0.218,,,DTB,TRUE
TCB-05651,QUBR_2022_0317,TRUE,Good?,Green,0.135,,,DTB,TRUE
TCB-05652,QUBR_2022_0252,TRUE,Good?,Green,0.146,,,DTB,TRUE
TCB-05653,QUBR_2022_0269,TRUE,Good?,Green,0.241,,,DTB,TRUE
TCB-05654,QUBR_2022_0308,TRUE,Good,Green,0.276,,,DTB,TRUE
TCB-05655,QUBR_2022_0307,TRUE,Good,Green,0.208,,,DTB,TRUE
TCB-05656,QUBR_2022_0316,TRUE,Good?,Green,0.255,,,DTB,TRUE
TCB-05657,QUBR_2022_0306,TRUE,Good?,Green,0.099,,,DTB,TRUE
TCB-05658,QUBR_2022_0305,TRUE,Good,Green,0.086,,,DTB,TRUE
TCB-05659,QUBR_2022_0341,TRUE,Good,Green,0.179,,,DTB,TRUE
TCB-05660,QUBR_2022_0315,TRUE,Good?,Green,0.132,,,DTB,TRUE
TCB-05661,QUBR_2022_0314,TRUE,1 Necrotic; 1 Good,Black/Green,0.169,,,DTB,TRUE
TCB-05662,QUBR_2022_0321,TRUE,Necrotic?,Dark Green/Black,0.037,,,DTB,TRUE
TCB-05663,QUBR_2022_0313,TRUE,1 Necrotic; 1 Good?,Black/Green,0.160,one leaf is necrotic; large leaf has white splotches,,DTB,TRUE
TCB-05664,QUBR_2022_0312,TRUE,Good?,Green,0.151,small brown spots,,DTB,TRUE
TCB-05665,QUBR_2022_0329,TRUE,Necrotic,Dark Green,0.026,brown edges; leaf tissue is dark green fading to black,,DTB,TRUE
TCB-05666,QUBR_2022_0304,TRUE,Good?,Green,0.208,white splotches,,DTB,TRUE
TCB-05667,QUBR_2022_0303,TRUE,Necrotic,Black/Green,0.029,dark green necrotic tissue fades to black along edges,,DTB,TRUE
TCB-05668,QUBR_2022_0253,TRUE,Good?,Green,0.236,white splotches,,DTB,TRUE
TCB-05669,QUBR_2022_0336,TRUE,Good,Green,0.223,,,DTB,TRUE
TCB-05670,QUBR_2022_0301,TRUE,Good,Green,0.147,,,DTB,TRUE
TCB-05671,QUBR_2022_0255,TRUE,Good,Green,0.276,,,DTB,TRUE
TCB-05672,QUBR_2022_0254,TRUE,Good,Green,0.243,,,DTB,TRUE
TCB-05673,QUBR_2022_0268,TRUE,Good,Green,0.118,1/3 necrotic with white spots,,DTB,TRUE
TCB-05674,QUBR_2022_0361,TRUE,Good,Green,0.111,,,DTB,TRUE
TCB-05675,QUBR_2022_0360,TRUE,Good,Green,0.111,,,DTB,TRUE
TCB-05676,QUBR_2022_0359,TRUE,Necrotic?,Green,0.041,"partially necrotic, no mold",,DTB,TRUE
TCB-05677,QUBR_2022_0358,TRUE,Good,Green,0.243,,,DTB,TRUE
TCB-05678,QUBR_2022_0357,TRUE,Good,Green,0.165,,,DTB,TRUE
TCB-05679,QUBR_2022_0356,TRUE,Necrotic?,Green,0.111,"brittle, partially necrotic",,DTB,TRUE
TCB-05680,QUBR_2022_0355,TRUE,Good,Green,0.214,,,DTB,TRUE
TCB-05681,QUBR_2022_0354,TRUE,Necrotic?,Green,0.148,1/3 has necrotic area,,DTB,TRUE
TCB-05682,QUBR_2022_0353,TRUE,Good,Green,0.140,,,DTB,TRUE
TCB-05683,QUBR_2022_0376,TRUE,Good?,Green,0.175,white splotches and scattered brown spots,,DTB,TRUE
TCB-05684,QUBR_2022_0351,TRUE,Good?,Green,0.051,white splotches,,DTB,TRUE
TCB-05685,QUBR_2022_0352,TRUE,Necrotic?,Turning black,0.040,turning black at tips,,DTB,TRUE
TCB-05686,QUBR_2022_0362,TRUE,Good?,Green,0.122,turning black at tips,,DTB,TRUE
TCB-05687,QUBR_2022_0363,TRUE,Good,Green,0.103,,,DTB,TRUE
TCB-05688,QUBR_2022_0364,TRUE,Good?,Green,0.277,some brown spots,,DTB,TRUE
TCB-05689,QUBR_2022_0385,TRUE,Necrotic?,Turning black,0.016,dark green tissue turning black at the tip,,DTB,TRUE
TCB-05690,QUBR_2022_0378,TRUE,Good,Green,0.228,,,DTB,TRUE
TCB-05691,QUBR_2022_0386,TRUE,Good,Green,0.300,,,DTB,TRUE
TCB-05692,QUBR_2022_0365,TRUE,Good,Green,0.272,,,DTB,TRUE
TCB-05693,QUBR_2022_0379,TRUE,Good?,Green,0.234,white splotches,,DTB,TRUE
TCB-05694,QUBR_2022_0387,TRUE,Good,Green,0.172,,,DTB,TRUE
TCB-05695,QUBR_2022_0381,TRUE,Good,Green,0.159,,,DTB,TRUE
TCB-05696,QUBR_2022_0388,TRUE,1 turning necrotic; 1 good,1 turning black; 1 green,0.338,dark green tissue turning black,,DTB,TRUE
TCB-05697,QUBR_2022_0382,TRUE,Good,Green,0.131,,,DTB,TRUE
TCB-05698,QUBR_2022_0366,TRUE,Good,Green,0.188,,,DTB,TRUE
TCB-05699,QUBR_2022_0367,TRUE,Turning necrotic,Dark green (turning black),0.027,necrotic tissue is still a deep green,,DTB,TRUE
TCB-05700,QUBR_2022_0368,TRUE,Good,Green,0.164,,,DTB,TRUE
TCB-05701,QUBR_2022_0380,TRUE,Good,Green,0.188,,,DTB,TRUE
TCB-05702,QUBR_2022_0369,TRUE,Good?,Green,0.206,white splotches,,DTB,TRUE
TCB-05703,QUBR_2022_0370,TRUE,1 Necrotic; 2 Good?,1 Black; 2 Green,0.194,1 leaf beginning necrosis; 2 leaves green with small spots,,DTB,TRUE
TCB-05704,QUBR_2022_0371,TRUE,1 Necrotic; 1 Good?,Black/Green,0.089,1 starting necrosis; white splotches,,DTB,TRUE
TCB-05705,QUBR_2022_0372,TRUE,Good,Green,0.157,,,DTB,TRUE
TCB-05706,QUBR_2022_0377,TRUE,Good,Green,0.206,,,DTB,TRUE
TCB-05707,QUBR_2022_0383,TRUE,Good?,Green,0.252,white splotches,,DTB,TRUE
TCB-05708,QUBR_2022_0389,TRUE,Good,Green,0.111,,,DTB,TRUE
TCB-05709,QUBR_2022_0384,TRUE,Good?,Green,0.121,black line down the middle of one leaf,,DTB,TRUE
TCB-05710,QUBR_2022_0390,TRUE,Good,Green,0.212,,,DTB,TRUE
TCB-05711,QUBR_2022_0395,TRUE,Good,Green,0.199,,,DTB,TRUE
TCB-05712,QUBR_2022_0391,TRUE,Good,Green,0.184,,,DTB,TRUE
TCB-05713,QUBR_2022_0396,TRUE,1 Necrotic; 1 Good?,1 Black; 1 Green,0.199,1 beginning necrosis; other leaf has small spots,,DTB,TRUE
TCB-05714,QUBR_2022_0373,TRUE,Good?,Green,0.168,white splotches,,DTB,TRUE
TCB-05715,QUBR_2022_0374,TRUE,1 Necrotic; 2 Good?,1 turning black; 2 green,0.236,1 dark green leaf starting necrosis; white splotches,,DTB,TRUE
TCB-05716,QUBR_2022_0375,TRUE,1 Necrotic; 2 Good,1 turning black; 2 green,0.269,"1 very small leaf necrotic, black margins",,DTB,TRUE
TCB-05717,QUBR_2022_0392,TRUE,Good?,Green,0.061,"brown margins, beginning necrosis",,DTB,TRUE
TCB-05718,QUBR_2022_0393,TRUE,Good,Green,0.125,,,DTB,TRUE
TCB-05719,QUBR_2022_0398,TRUE,Good,Green,0.196,,,DTB,TRUE
TCB-05720,QUBR_2022_0394,TRUE,Good,Green,0.209,,,DTB,TRUE
TCB-05721,QUBR_2022_0400,TRUE,Good,Green,0.203,,,DTB,TRUE
TCB-05722,QUBR_2022_0397,TRUE,Good,Green,0.293,,,DTB,TRUE
TCB-05723,QUBR_2022_0404,TRUE,Good,Green,0.229,,,DTB,TRUE
TCB-05724,QUBR_2022_0399,TRUE,Good,Green,0.151,,,DTB,TRUE
TCB-05725,QUBR_2022_0405,TRUE,Good,Green,0.099,,,DTB,TRUE
TCB-05726,QUBR_2022_0401,TRUE,Good,Green,0.307,,,DTB,TRUE
TCB-05727,QUBR_2022_0407,TRUE,Good,Green,0.105,,,DTB,TRUE
TCB-05728,QUBR_2022_0408,TRUE,Good,Green,0.193,,,DTB,TRUE
TCB-05729,QUBR_2022_0402,TRUE,Good,Green,0.144,,,DTB,TRUE
TCB-05730,QUBR_2022_0406,TRUE,Good,Green,0.080,,,DTB,TRUE
TCB-05731,QUBR_2022_0410,TRUE,1 Good; 1 Necrotic,Green,0.102,1/2 beginning necrosis,,DTB,TRUE
TCB-05732,QUBR_2022_0409,TRUE,Good,Green,0.309,,,DTB,TRUE
TCB-05733,QUBR_2022_0411,TRUE,Good,Green,0.100,brown splotches,,DTB,TRUE
TCB-05734,QUBR_2022_0412,TRUE,Good,Green/Brown,0.158,,,DTB,TRUE
TCB-05735,QUBR_2022_0413,TRUE,Good,Green,0.223,,,DTB,TRUE
TCB-05736,QUBR_2022_0414,TRUE,Necrotic?,Green,0.109,begining necrosis,,DTB,TRUE
TCB-05737,QUBR_2022_0415,TRUE,Necrotic,Green,0.024,,,DTB,TRUE
TCB-05738,QUBR_2022_0416,TRUE,1 Good; 1 Necrotic,Green,0.115,1/2 necrotic,,DTB,TRUE
TCB-05739,QUBR_2022_0417,TRUE,Good,Green,0.185,,,DTB,TRUE
TCB-05740,QUBR_2022_0418,TRUE,1 Good; 1 Necrotic,Green,0.091,,,DTB,TRUE
TCB-05741,QUBR_2022_0419,TRUE,Necrotic?,Green,0.064,,,DTB,TRUE
TCB-05742,QUBR_2022_0420,TRUE,Necrotic?,Green,0.117,,,DTB,TRUE
TCB-05743,QUBR_2022_0421,TRUE,Necrotic?,Green,0.030,,,DTB,TRUE
TCB-05744,QUBR_2022_0422,TRUE,Necrotic?,Green,0.103,,,DTB,TRUE
TCB-05745,QUBR_2022_0423,TRUE,1 Good; 1 Necrotic,Green,0.120,,,DTB,TRUE
TCB-05746,QUBR_2022_0424,TRUE,Good?,Green,0.095,,,DTB,TRUE
TCB-05747,QUBR_2022_0425,TRUE,Good?,Green,0.152,,,DTB,TRUE
TCB-05748,QUBR_2022_0426,TRUE,Good?,Green,0.099,,,DTB,TRUE
TCB-05749,QUBR_2022_0427,TRUE,1 Good; 1 Necrotic,Green,0.071,,,DTB,TRUE
TCB-05750,QUBR_2022_0428,TRUE,1 Good; 1 Necrotic,Green/Brown,0.139,Brown splotches,,DTB,TRUE
TCB-05751,QUBR_2022_0429,TRUE,Good?,Green,0.044,,,DTB,TRUE
TCB-05752,QUBR_2022_0431,TRUE,Good?,Green,0.058,,,DTB,TRUE
TCB-05753,QUBR_2022_0432,TRUE,Good,Green,0.042,,,DTB,TRUE
TCB-05754,QUBR_2022_0433,TRUE,2 Good; 1 Necrotic,Green/Black,0.078,1 with black margins,,DTB,TRUE
TCB-05755,QUBR_2022_0434,TRUE,Good,Green,0.094,,,DTB,TRUE
TCB-05756,QUBR_2022_0435,TRUE,Necrotic?,Green/Black,0.048,,,DTB,TRUE
TCB-05757,QUBR_2022_0436,TRUE,Necrotic,Green,0.085,,,DTB,TRUE
TCB-05758,QUBR_2022_0437,TRUE,Good,Green,0.042,,,DTB,TRUE
TCB-05759,QUBR_2022_0438,TRUE,Good,Green,0.091,,,DTB,TRUE
TCB-05760,QUBR_2022_0439,TRUE,Necrotic?,Green,0.061,,,DTB,TRUE
TCB-05761,QUBR_2022_0440,TRUE,Good,Green,0.130,,,DTB,TRUE
TCB-05762,QUBR_2022_0441,TRUE,Good,Green,0.074,,,DTB,TRUE
TCB-05763,QUBR_2022_0442,TRUE,Good,Green,0.094,,,DTB,TRUE
TCB-05764,QUBR_2022_0443,TRUE,Good,Green/Brown,0.063,Brown splotches,,DTB,TRUE
TCB-05765,QUBR_2022_0444,TRUE,Good,Green,0.102,,,DTB,TRUE
TCB-05766,QUBR_2022_0445,TRUE,Good,Green,0.055,,,DTB,TRUE
TCB-05767,QUBR_2022_0446,TRUE,Necrotic?,Green/Black,0.105,"Black margins, beginning necrosis",,DTB,TRUE
TCB-05768,QUBR_2022_0447,TRUE,Good?,Green,0.132,,,DTB,TRUE
TCB-05769,QUBR_2022_0448,TRUE,Good,Green,0.038,,"Datasheet lists weight as ""0.38"", I think it was supposed to be 0.038",DTB,TRUE
TCB-05770,QUBR_2022_0449,TRUE,Necrotic?,Green/Brown,0.211,"1 with brown splotches, 1 beginning necrosis",,DTB,TRUE
TCB-05771,QUBR_2022_0450,TRUE,Good,Green/Brown,0.065,,,DTB,TRUE
TCB-05772,QUBR_2022_0451,TRUE,Good,Green,0.061,,,DTB,TRUE
TCB-05773,QUBR_2022_0564,TRUE,Good,Green,0.055,,,DTB,TRUE
TCB-05774,QUBR_2022_0541,TRUE,Good?,Green,0.052,white splotches,,DTB,TRUE
TCB-05775,QUBR_2022_0535,TRUE,Good?,Green,0.029,white splotches,,DTB,TRUE
TCB-05776,QUBR_2022_0534,TRUE,Good,Green,0.088,,,DTB,TRUE
TCB-05777,QUBR_2022_0533,TRUE,Good?,Green,0.091,large brown patches on both leaves,,DTB,TRUE
TCB-05778,QUBR_2022_0532,TRUE,Good?,Green,0.066,white splotches,,DTB,TRUE
TCB-05779,QUBR_2022_0530,TRUE,Good,Green,0.019,,,DTB,TRUE
TCB-05780,QUBR_2022_0529,TRUE,Good?,Green,0.178,white splotches,,DTB,TRUE
TCB-05781,QUBR_2022_0531,TRUE,1 Good; 1 Necrotic,Green/Brown,0.050,necrosis starting on edge of leaf tissue,,DTB,TRUE
TCB-05782,QUBR_2022_0527,TRUE,Good?,Green,0.206,1 leaf has white splotches,,DTB,TRUE
TCB-05783,QUBR_2022_0528,TRUE,Good?,Green,0.058,1 leaf has white splotches,,DTB,TRUE
TCB-05784,QUBR_2022_0526,TRUE,Good,Green,0.095,,,DTB,TRUE
TCB-05785,QUBR_2022_0525,TRUE,Good,Green,0.013,,,DTB,TRUE
TCB-05786,QUBR_2022_0524,TRUE,Good,Green,0.058,,,DTB,TRUE
TCB-05787,QUBR_2022_0548,TRUE,Good,Green,0.022,,,DTB,TRUE
TCB-05788,QUBR_2022_0523,TRUE,Good?,Green,0.096,white splotches,,DTB,TRUE
TCB-05789,QUBR_2022_0522,TRUE,Good?,Green,0.070,white splotches,,DTB,TRUE
TCB-05790,QUBR_2022_0521,TRUE,Good?,Green,0.037,white splotches,,DTB,TRUE
TCB-05791,QUBR_2022_0520,TRUE,Good?,Green,0.031,white splotches and a couple brown spots,,DTB,TRUE
TCB-05792,QUBR_2022_0470,TRUE,Good?,Green,0.045,several brown patches on leaf,,DTB,TRUE
TCB-05793,QUBR_2022_0469,TRUE,Moldy?,Green,0.066,white/brown fuzzy patches on tissue,,DTB,TRUE
TCB-05794,QUBR_2022_0539,TRUE,Good?,Green,0.048,white splotches,,DTB,TRUE
TCB-05795,QUBR_2022_0468,TRUE,Good?,Green,0.047,white splotches,,DTB,TRUE
TCB-05796,QUBR_2022_0540,TRUE,Good,Green,0.047,,,DTB,TRUE
TCB-05797,QUBR_2022_0467,TRUE,Good?,Green,0.059,white splotches,,DTB,TRUE
TCB-05798,QUBR_2022_0466,TRUE,Necrotic,Green/Black,0.055,"necrosis starting in tissue, black patches in center",,DTB,TRUE
TCB-05799,QUBR_2022_0465,TRUE,Good?,Green,0.067,tiny scattered white spots,,DTB,TRUE
TCB-05800,QUBR_2022_0563,TRUE,Necrosis,Green/Black,0.011,necrosis starting in tissue edges turning black,,DTB,TRUE
TCB-05801,QUBR_2022_0565,TRUE,Good?,Green,0.129,1 leaf with white splotches,,DTB,TRUE
TCB-05802,QUBR_2022_0464,TRUE,Good,Green,0.050,,,DTB,TRUE
TCB-05803,QUBR_2022_0453,TRUE,Good,Green,0.116,,,DTB,TRUE
TCB-05804,QUBR_2022_0454,TRUE,Good,Green,0.038,,,DTB,TRUE
TCB-05805,QUBR_2022_0455,TRUE,Good,Green,0.116,,,DTB,TRUE
TCB-05806,QUBR_2022_0459,TRUE,Good,Green,0.110,,,DTB,TRUE
TCB-05807,QUBR_2022_0460,TRUE,Necrotic,Green,0.018,beginning necrosis,,DTB,TRUE
TCB-05808,QUBR_2022_0461,TRUE,Necrotic,Green/Brown,0.109,,,DTB,TRUE
TCB-05809,QUBR_2022_0462,TRUE,Good,Green,0.123,,,DTB,TRUE
TCB-05810,QUBR_2022_0463,TRUE,Necrotic?,Green/Brown,0.045,"brown splotches, beginning necrosis",,DTB,TRUE
TCB-05811,QUBR_2022_0471,TRUE,Good,Green,0.054,,,DTB,TRUE
TCB-05812,QUBR_2022_0472,TRUE,Good,Green,0.038,,,DTB,TRUE
TCB-05813,QUBR_2022_0473,TRUE,Good,Green,0.057,,,DTB,TRUE
TCB-05814,QUBR_2022_0474,TRUE,Good,Green,0.117,,,DTB,TRUE
TCB-05815,QUBR_2022_0475,TRUE,Good,Green/Brown,0.031,,,DTB,TRUE
TCB-05816,QUBR_2022_0477,TRUE,Good,Green,0.076,,,DTB,TRUE
TCB-05817,QUBR_2022_0478,TRUE,Necrotic,Green/Black,0.083,1/2 with black margins,,DTB,TRUE
TCB-05818,QUBR_2022_0479,TRUE,Good,Green,0.040,,,DTB,TRUE
TCB-05819,QUBR_2022_0480,TRUE,Good,Green,0.025,,,DTB,TRUE
TCB-05820,QUBR_2022_0482,TRUE,Good,Green,0.052,,,DTB,TRUE
TCB-05821,QUBR_2022_0483,TRUE,Good,Green/Brown,0.087,,,DTB,TRUE
TCB-05822,QUBR_2022_0484,TRUE,1 Good; 1 Necrotic,Green,0.058,,,DTB,TRUE
TCB-05823,QUBR_2022_0485,TRUE,Good,Green,0.069,,,DTB,TRUE
TCB-05824,QUBR_2022_0486,TRUE,Good,Green,0.089,,,DTB,TRUE
TCB-05825,QUBR_2022_0487,TRUE,Good,Green,0.069,,,DTB,TRUE
TCB-05826,QUBR_2022_0488,TRUE,Good,Green,0.121,"2 oak leaves and 1 other leaf (very small, smooth margins, oblong)",,DTB,TRUE
TCB-05827,QUBR_2022_0452,TRUE,Good,Green,0.092,,,DTB,TRUE
TCB-05828,QUBR_2022_0456,TRUE,Good,Green,0.117,,,DTB,TRUE
TCB-05829,QUBR_2022_0457,TRUE,Good,Green,0.058,,,DTB,TRUE
TCB-05830,QUBR_2022_0458,TRUE,Good,Green,0.115,,,DTB,TRUE
TCB-05831,QUBR_2022_0489,TRUE,Necrotic?,Green,0.048,,,DTB,TRUE
TCB-05832,QUBR_2022_0490,TRUE,Good,Green,0.157,,,DTB,TRUE
TCB-05833,QUBR_2022_0491,TRUE,Good?,Green,0.064,,,DTB,TRUE
TCB-05834,QUBR_2022_0492,TRUE,Good,Green,0.140,,,DTB,TRUE
TCB-05835,QUBR_2022_0493,TRUE,Good,Green,0.150,,,DTB,TRUE
TCB-05836,QUBR_2022_0494,TRUE,Good,Green,0.043,,,DTB,TRUE
TCB-05837,QUBR_2022_0495,TRUE,Good,Green,0.090,,,DTB,TRUE
TCB-05838,QUBR_2022_0496,TRUE,Good,Green,0.044,,,DTB,TRUE
TCB-05839,QUBR_2022_0497,TRUE,Good,Green,0.060,,,DTB,TRUE
TCB-05840,QUBR_2022_0498,TRUE,Good,Green,0.060,,,DTB,TRUE
TCB-05841,QUBR_2022_0500,TRUE,Good,Green,0.108,,,DTB,TRUE
TCB-05842,QUBR_2022_0501,TRUE,Good,Green/Brown,0.046,,,DTB,TRUE
TCB-05843,QUBR_2022_0502,TRUE,Good,Green,0.164,,,DTB,TRUE
TCB-05844,QUBR_2022_0503,TRUE,Good,Green,0.031,,,DTB,TRUE
TCB-05845,QUBR_2022_0504,TRUE,Good,Green,0.054,,,DTB,TRUE
TCB-05846,QUBR_2022_0505,TRUE,Good,Green,0.110,,,DTB,TRUE
TCB-05847,QUBR_2022_0507,TRUE,Good,Green,0.063,,,DTB,TRUE
TCB-05848,QUBR_2022_0508,TRUE,Good,Green,0.051,,,DTB,TRUE
TCB-05849,QUBR_2022_0509,TRUE,Good,Green,0.094,,,DTB,TRUE
TCB-05850,QUBR_2022_0510,TRUE,Good?,Green,0.084,,,DTB,TRUE
TCB-05851,QUBR_2022_0511,TRUE,Good,Green,0.098,,,DTB,TRUE
TCB-05852,QUBR_2022_0512,TRUE,Good,Green,0.105,,,DTB,TRUE
TCB-05853,QUBR_2022_0514,TRUE,Good?,Green,0.038,,,DTB,TRUE
TCB-05854,QUBR_2022_0515,TRUE,Good,Green,0.100,,,DTB,TRUE
TCB-05855,QUBR_2022_0517,TRUE,Good,Green,0.085,,,DTB,TRUE
TCB-05856,QUBR_2022_0518,TRUE,Good?,Green,0.127,,,DTB,TRUE
TCB-05857,QUBR_2022_0519,TRUE,Good,Green,0.039,,,DTB,TRUE
TCB-05858,QUBR_2022_0536,TRUE,Good,Green,0.040,,,DTB,TRUE
TCB-05859,QUBR_2022_0537,TRUE,Good,Green,0.109,,,DTB,TRUE
TCB-05860,QUBR_2022_0538,TRUE,Good,Green/Brown,0.064,,,DTB,TRUE
TCB-05861,QUBR_2022_0542,TRUE,Good,Green,0.056,,,DTB,TRUE
TCB-05862,QUBR_2022_0543,TRUE,Good?,Green,0.045,,,DTB,TRUE
TCB-05863,QUBR_2022_0545,TRUE,Good,Green,0.073,,,DTB,TRUE
TCB-05864,QUBR_2022_0547,TRUE,Good,Green,0.054,,,DTB,TRUE
TCB-05865,QUBR_2022_0549,TRUE,Good,Green,0.066,,,DTB,TRUE
TCB-05866,QUBR_2022_0550,TRUE,Good,Green,0.060,,,DTB,TRUE
TCB-05867,QUBR_2022_0574,TRUE,1 Good; 3 Moldy,Green,0.177,3/4 with white spots,,DTB,TRUE
TCB-05868,QUBR_2022_0571,TRUE,Good,Green,0.085,,,DTB,TRUE
TCB-05869,QUBR_2022_0612,TRUE,Good,Green,0.058,,,DTB,TRUE
TCB-05870,QUBR_2022_0614,TRUE,Moldy,Green,0.069,white mold spores,,DTB,TRUE
TCB-05871,QUBR_2022_0611,TRUE,Good,Green,0.162,,,DTB,TRUE
TCB-05872,QUBR_2022_0609,TRUE,1 Good; 1 Moldy,Green,0.093,,,DTB,TRUE
TCB-05873,QUBR_2022_0608,TRUE,Moldy?,Green,0.203,,,DTB,TRUE
TCB-05874,QUBR_2022_0607,TRUE,Good,Green,0.059,,,DTB,TRUE
TCB-05875,QUBR_2022_0605,TRUE,Good,Green,0.121,,,DTB,TRUE
TCB-05876,QUBR_2022_0604,TRUE,Good,Green,0.048,,,DTB,TRUE
TCB-05877,QUBR_2022_0603,TRUE,Good,Green,0.035,,,DTB,TRUE
TCB-05878,QUBR_2022_0601,TRUE,Good,Green,0.039,,,DTB,TRUE
TCB-05879,QUBR_2022_0562,TRUE,Good,Green,0.044,,,DTB,TRUE
TCB-05880,QUBR_2022_0589,TRUE,Good,Green,0.035,,,DTB,TRUE
TCB-05881,QUBR_2022_0551,TRUE,Good,Green,0.119,,,DTB,TRUE
TCB-05882,QUBR_2022_0552,TRUE,Good,Green/Brown,0.032,,,DTB,TRUE
TCB-05883,QUBR_2022_0556,TRUE,Good,Green,0.029,,,DTB,TRUE
TCB-05884,QUBR_2022_0582,TRUE,Good,Green,0.039,,,DTB,TRUE
TCB-05885,QUBR_2022_0561,TRUE,Good,Green,0.060,,,DTB,TRUE
TCB-05886,QUBR_2022_0553,TRUE,Good,Green,0.073,,,DTB,TRUE
TCB-05887,QUBR_2022_0554,TRUE,Good,Green,0.103,,,DTB,TRUE
TCB-05888,QUBR_2022_0576,TRUE,Good,Green,0.070,,,DTB,TRUE
TCB-05889,QUBR_2022_0579,TRUE,Good,Green,0.029,,,DTB,TRUE
TCB-05890,QUBR_2022_0591,TRUE,Good?,Green/Black,0.155,,,DTB,TRUE
